Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CURA_TL_TEST_SUITE_002,Chrome 120.0.0.0,,,14-01-2024 12:19:45,14-01-2024 12:20:04,18.600s,PASSED
,,,,,,,
Test Cases/CURA_PROJECT/CURA_TL_002,Chrome 120.0.0.0,,,14-01-2024 12:19:54,14-01-2024 12:20:04,10.191s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,14-01-2024 12:19:54,14-01-2024 12:19:57,2.926s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,14-01-2024 12:19:57,14-01-2024 12:19:58,1.009s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/input_programs""))",Chrome 120.0.0.0,,,14-01-2024 12:19:58,14-01-2024 12:19:58,0.329s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 120.0.0.0,,,14-01-2024 12:19:58,14-01-2024 12:19:58,0.342s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/td_31""))",Chrome 120.0.0.0,,,14-01-2024 12:19:59,14-01-2024 12:19:59,0.544s,PASSED
"setText(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/textarea_comment""), ""FOR CONSULTATION"")",Chrome 120.0.0.0,,,14-01-2024 12:19:59,14-01-2024 12:20:00,0.838s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 120.0.0.0,,,14-01-2024 12:20:00,14-01-2024 12:20:01,1.133s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 120.0.0.0,,,14-01-2024 12:20:01,14-01-2024 12:20:01,0.443s,PASSED
"click(findTestObject(""Object Repository/CURA_TL_OR_002/Page_CURA Healthcare Service/a_History""))",Chrome 120.0.0.0,,,14-01-2024 12:20:01,14-01-2024 12:20:02,0.833s,PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,14-01-2024 12:20:02,14-01-2024 12:20:04,1.676s,PASSED
